R1,FCode122,2020/05/01,06:40:51
R1,FCode12,2020/05/02,06:40:51
R1,FCode22,2020/05/03,06:40:51
R1,FCode122,2020/05/04,06:40:51
R1,FCode12,2020/05/05,06:40:51
R1,FCode122,2020/05/06,06:40:51
R1,FCode122,2020/05/07,06:40:51
R1,FCode122,2020/05/08,06:40:51
R1,FCode122,2020/05/09,06:40:51
R1,FCode122,2020/05/10,06:40:51
R2,FCode122,2020/05/11,06:40:51
R2,FCode122,2020/05/01,06:40:51
R2,FCode122,2020/05/02,06:40:51
R2,FCode122,2020/05/03,06:40:51
R2,FCode122,2020/05/04,06:40:51
R2,FCode122,2020/05/05,06:40:51
R2,FCode122,2020/05/06,06:40:51
R2,FCode122,2020/05/07,06:40:51
R2,FCode122,2020/05/08,06:40:51
R2,FCode12,2020/05/09,06:40:51
R2,FCode122,2020/05/10,06:40:51
R2,FCode122,2020/05/11,06:40:51
R2,FCode122,2020/05/12,06:40:51
R2,FCode12,2020/05/13,06:40:51
R2,FCode22,2020/05/14,06:40:51
R3,FCode22,2020/05/14,06:40:51
R3,FCode22,2020/05/15,06:40:51
R3,FCode221,2020/05/16,06:40:51
R4,FCode221,2019/05/16,06:40:51
R5,FCode221,2020/05/16,06:40:51
R5,FCode221,2018/05/16,06:40:51
R6,FCode221,2020/05/16,06:40:51
R6,FCode221,2020/06/16,06:40:51
